Species ID,Species Name,Continent
144768,Calendulauda albescens,Africa
23611,Litoria rubella,Oceania
1289509,Lanius corvinus,Africa
12237,Acanthorhynchus superciliosus,Oceania
34141,Pachydactylus maculatus,Africa
42657,Didelphis aurita,South America
42380,Ourebia ourebi,Africa
11972,Stelgidopteryx ruficollis,South America
47107,Myrmecophaga tridactyla,South America
145308,Spinus psaltria,North America
7244,Musophaga rossae,Africa
13920,Sporopipes frontalis,Africa
199841,Haemorhous purpureus,North America
32864,Chamaeleo chamaeleon,Asia
9639,Carpodacus erythrinus,Europe
59815,Sorex cinereus,North America
65864,Ingerophrynus celebensis,Asia
29764,Lamprophis aurora,Africa
30268,Coelognathus flavolineatus,Asia
7384,Ammomanes deserti,Asia
23455,Afrixalus fornasini,Africa
458,Aramides saracura,South America
17050,Poecilotriccus plumbeiceps,South America
10079,Tachyphonus coronatus,South America
4345,Larus occidentalis,North America
42961,Thylogale stigmatica,Oceania
62797,Gambelia wislizenii,North America
29536,Lycodonomorphus rufulus,Africa
512092,Sturnia pagodarum,Asia
5532,Buceros rhinoceros,Asia
67819,Arvicola amphibius,Europe
13494,Gerygone igata,Oceania
9083,Cardinalis cardinalis,North America
43530,Theropithecus gelada,Africa
5150,Hieraaetus morphnoides,Oceania
8269,Dicrurus forficatus,Africa
1289681,Riccordia ricordii,North America
1289423,Argya striata,Asia
144469,Hieraaetus wahlbergi,Africa
43606,Avahi laniger,Africa
3623,Geophaps scripta,Oceania
43567,Otolemur crassicaudatus,Africa
10585,Calamospiza melanocorys,North America
225741,Neotamias canipes,North America
10168,Pooecetes gramineus,North America
116950,Lybius torquatus,Africa
145031,Copsychus fulicatus,Asia
